1000
300
7
518,1
625,6
656,3
757,1
480,4
496,5
367,2
773,7
482,4
665,4
620,6
752,1
335,5
771,2
514,1
539,6
619,3
356,3
332,5
689,2
440,4
191,7
537,2
414,2
745,5
707,4
190,1
133,7
339,1
419,1
119,4
501,3
221,6
123,1
658,3
535,6
683,7
342,3
249,4
324,4
549,6
190,2
345,5
251,4
472,2
489,4
175,7
763,2
107,1
694,1
582,5
220,5
407,2
130,5
322,7
162,5
190,4
279,3
130,5
404,2
368,2
220,7
571,4
378,1
597,1
713,4
132,5
790,5
263,2
590,7
787,3
557,3
411,6
744,2
319,6
180,2
715,6
371,3
423,5
314,3
226,3
612,6
581,7
702,1
102,5
178,6
417,5
170,6
720,1
701,5
555,6
508,7
146,1
247,6
680,4
138,6
185,3
580,5
686,4
461,2
585,4
310,1
722,3
576,6
447,2
348,2
232,3
595,7
614,2
107,4
416,7
762,4
292,3
537,5
684,6
551,7
613,5
184,2
432,6
773,5
637,7
506,5
527,5
301,4
317,5
227,1
556,3
765,2
431,3
420,1
715,6
177,6
168,6
218,7
222,4
464,5
173,1
468,5
296,5
153,2
337,5
651,7
257,5
594,1
588,4
667,6
114,7
323,1
165,4
743,3
565,4
584,4
664,6
440,6
412,2
485,7
189,5
261,3
740,6
438,1
467,1
175,7
674,3
793,1
167,2
274,2
236,6
248,3
555,5
314,7
479,6
670,7
415,6
253,3
737,1
109,6
551,7
345,1
380,7
682,2
608,3
606,1
373,4
653,1
336,4
704,7
780,2
261,6
363,4
483,2
107,6
369,7
363,6
258,1
682,1
705,5
233,5
329,5
274,7
759,6
349,7
445,4
730,1
577,7
526,5
447,1
343,5
413,7
335,3
341,6
133,3
372,5
627,2
466,4
706,6
530,3
143,4
326,4
728,4
493,3
746,3
687,5
654,3
365,5
575,3
609,7
618,7
689,4
524,1
655,1
538,2
414,7
102,5
617,7
460,1
711,7
493,7
642,5
408,5
365,6
513,2
703,6
756,4
134,5
503,5
156,2
719,7
588,1
661,5
404,5
172,3
141,7
586,5
296,1
665,4
561,3
753,1
745,4
246,2
517,3
396,3
628,1
382,7
195,4
179,7
638,2
418,1
398,4
318,6
572,2
536,1
211,5
259,3
109,3
594,3
339,4
599,4
125,1
128,5
458,5
433,6
376,4
168,3
309,7
182,7
402,4
358,5
579,2
363,2
439,2
429,6
306,7
434,4
101,2
432,5
347,2
158,1
362,4
312,5
277,1
